Image_name,Emotion
63119.png,happy
61769.png,neutral
95472.png,disgust
93515.png,neutral
56585.png,angry
19567.png,fear
20262.png,angry
25258.png,disgust
23009.png,happy
23434.png,fear
58830.png,fear
71391.png,fear
21400.png,fear
20253.png,disgust
28721.png,disgust
94145.png,disregard
43303.png,surprise
18966.png,fear
51475.png,surprise
70279.png,surprise
14700.png,disgust
50486.png,sorrow
8028.png,fear
59575.png,happy
12854.png,neutral
48337.png,angry
86804.png,angry
16113.png,surprise
44218.png,sorrow
87861.png,disgust
3950.png,sorrow
65775.png,surprise
20271.png,angry
81857.png,sorrow
51460.png,happy
73291.png,surprise
83811.png,disgust
99949.png,fear
92042.png,fear
37718.png,surprise
25126.png,neutral
58466.png,disregard
22181.png,disregard
58757.png,neutral
30624.png,disgust
66720.png,fear
22685.png,angry
88996.png,sorrow
37720.png,neutral
53754.png,angry
44683.png,disregard
23435.png,fear
74719.png,happy
30972.png,happy
44472.png,surprise
3038.png,angry
10680.png,happy
77748.png,sorrow
89400.png,disgust
8921.png,disregard
92481.png,disgust
62320.png,fear
83980.png,surprise
88520.png,surprise
86538.png,angry
65985.png,happy
63423.png,disregard
75798.png,neutral
40764.png,neutral
43682.png,sorrow
70278.png,happy
95436.png,sorrow
57619.png,sorrow
14201.png,happy
3497.png,disgust
97670.png,angry
10394.png,neutral
67708.png,fear
83403.png,happy
36659.png,angry
97004.png,fear
34495.png,surprise
7614.png,neutral
97793.png,angry
36990.png,happy
66997.png,surprise
57835.png,fear
19216.png,happy
43948.png,angry
38964.png,angry
64397.png,fear
55025.png,disgust
37924.png,sorrow
76433.png,surprise
75380.png,sorrow
13955.png,angry
99933.png,disregard
14374.png,fear
95977.png,surprise
35487.png,angry
4324.png,disregard
73564.png,disregard
52942.png,neutral
82466.png,sorrow
20397.png,happy
27999.png,disregard
58955.png,happy
91872.png,fear
59838.png,disregard
72281.png,fear
860.png,happy
12206.png,happy
81777.png,happy
99286.png,happy
78700.png,neutral
35179.png,sorrow
5582.png,neutral
41102.png,sorrow
58629.png,surprise
23100.png,neutral
75063.png,angry
45345.png,disgust
82056.png,angry
89947.png,angry
77435.png,angry
47489.png,angry
30927.png,disgust
70744.png,fear
33775.png,disgust
23069.png,sorrow
17061.png,fear
48903.png,surprise
20186.png,fear
55525.png,disgust
8381.png,happy
34300.png,neutral
34411.png,angry
16487.png,angry
28776.png,disregard
7193.png,disregard
24452.png,sorrow
85049.png,angry
93173.png,fear
36505.png,angry
56932.png,surprise
96884.png,angry
89172.png,fear
36957.png,angry
40588.png,disgust
19604.png,surprise
59661.png,angry
54941.png,disgust
16688.png,neutral
42044.png,sorrow
33962.png,fear
94255.png,angry
73960.png,happy
48094.png,angry
55452.png,disregard
29066.png,disregard
77504.png,angry
38725.png,sorrow
74008.png,surprise
23725.png,happy
27614.png,disgust
6694.png,surprise
92841.png,happy
13710.png,sorrow
89690.png,neutral
17822.png,happy
51326.png,fear
70904.png,sorrow
40924.png,sorrow
81922.png,sorrow
92413.png,neutral
31056.png,surprise
79765.png,fear
6887.png,sorrow
69826.png,angry
221.png,sorrow
10115.png,angry
3308.png,happy
42119.png,happy
90687.png,sorrow
64449.png,disgust
77987.png,disregard
94803.png,angry
22694.png,surprise
3851.png,neutral
11345.png,disgust
3290.png,disregard
5506.png,disgust
